num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
20,10,0.6,500,GES,144.0,
20,10,0.6,100,Greedy,86.0,12
20,10,0.6,100,GES,91.0,
20,2,0.6,1000,Greedy,169.0,16
20,2,0.6,1000,GES,188.0,
20,2,0.6,500,Greedy,98.0,16
20,2,0.6,500,GES,190.0,
20,2,0.6,100,Greedy,104.0,12
20,2,0.6,100,GES,146.0,
20,10,0.4,1000,Greedy,120.0,10
20,10,0.4,1000,GES,99.0,
20,10,0.4,500,Greedy,83.0,10
20,10,0.4,500,GES,88.0,
20,10,0.4,100,Greedy,83.0,12
20,10,0.4,100,GES,82.0,
20,2,0.4,1000,Greedy,109.0,14
20,2,0.4,1000,GES,129.0,
20,2,0.4,500,Greedy,75.0,14
20,2,0.4,500,GES,125.0,
20,2,0.4,100,Greedy,93.0,13
20,2,0.4,100,GES,89.0,
20,10,0.2,1000,Greedy,41.0,8
20,10,0.2,1000,GES,38.0,
20,10,0.2,500,Greedy,31.0,11
20,10,0.2,500,GES,31.0,
20,10,0.2,100,Greedy,45.0,12
20,10,0.2,100,GES,40.0,
20,2,0.2,1000,Greedy,30.0,11
20,2,0.2,1000,GES,32.0,
20,2,0.2,500,Greedy,31.0,8
20,2,0.2,500,GES,35.0,
20,2,0.2,100,Greedy,21.0,6
20,2,0.2,100,GES,48.0,
8,4,0.8,1000,Greedy,19.0,4
8,4,0.8,1000,GES,25.0,
8,4,0.8,500,Greedy,18.0,3
8,4,0.8,500,GES,25.0,
8,4,0.8,100,Greedy,16.0,4
8,4,0.8,100,GES,21.0,
8,2,0.8,1000,Greedy,6.0,3
8,2,0.8,1000,GES,24.0,
8,2,0.8,500,Greedy,6.0,2
8,2,0.8,500,GES,22.0,
8,2,0.8,100,Greedy,12.0,2
8,2,0.8,100,GES,26.0,
8,4,0.6,1000,Greedy,12.0,4
8,4,0.6,1000,GES,10.0,
8,4,0.6,500,Greedy,11.0,3
8,4,0.6,500,GES,12.0,
8,4,0.6,100,Greedy,23.0,3
8,4,0.6,100,GES,21.0,
8,2,0.6,1000,Greedy,3.0,2
8,2,0.6,1000,GES,13.0,
8,2,0.6,500,Greedy,12.0,3
8,2,0.6,500,GES,15.0,
8,2,0.6,100,Greedy,4.0,1
8,2,0.6,100,GES,4.0,
8,4,0.4,1000,Greedy,6.0,2
8,4,0.4,1000,GES,4.0,
8,4,0.4,500,Greedy,0.0,2
8,4,0.4,500,GES,4.0,
8,4,0.4,100,Greedy,6.0,2
