num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
5,2,0.4,1000,MCMC,0,0
5,2,0.4,500,MCMC,1,0
5,2,0.4,100,MCMC,2,0
5,2,0.4,1000,MCMC,2,2
5,2,0.4,500,MCMC,2,0
5,2,0.4,100,MCMC,4,1
5,2,0.2,1000,MCMC,2,2
5,2,0.2,500,MCMC,0,0
5,2,0.2,100,MCMC,0,0
5,2,0.2,1000,MCMC,0,1
5,2,0.2,500,MCMC,1,1
5,2,0.2,100,MCMC,0,1
8,4,0.8,1000,MCMC,25,4
8,4,0.8,500,MCMC,17,3
8,4,0.8,100,MCMC,23,4
8,2,0.8,1000,MCMC,13,4
8,2,0.8,500,MCMC,27,5
8,2,0.8,100,MCMC,10,3
8,4,0.6,1000,MCMC,15,4
8,4,0.6,500,MCMC,10,3
8,4,0.6,100,MCMC,8,2
8,2,0.6,1000,MCMC,11,2
8,2,0.6,500,MCMC,12,5
8,2,0.6,100,MCMC,8,5
8,4,0.4,1000,MCMC,12,2
8,4,0.4,500,MCMC,14,3
8,4,0.4,100,MCMC,17,3
8,2,0.4,1000,MCMC,15,4
8,2,0.4,500,MCMC,8,4
8,2,0.4,100,MCMC,8,3
8,4,0.2,1000,MCMC,11,3
8,4,0.2,500,MCMC,8,3
8,4,0.2,100,MCMC,7,2
8,2,0.2,1000,MCMC,7,3
8,2,0.2,500,MCMC,6,3
8,2,0.2,100,MCMC,10,4
5,2,0.8,1000,MCMC,3,2
5,2,0.8,500,MCMC,3,2
5,2,0.8,100,MCMC,10,2
5,2,0.8,1000,MCMC,9,3
5,2,0.8,500,MCMC,0,1
5,2,0.8,100,MCMC,4,0
5,2,0.6,1000,MCMC,2,0
5,2,0.6,500,MCMC,2,1
5,2,0.6,100,MCMC,2,0
5,2,0.6,1000,MCMC,1,0
5,2,0.6,500,MCMC,1,1
5,2,0.6,100,MCMC,1,2
5,2,0.4,1000,MCMC,3,3
5,2,0.4,500,MCMC,2,0
5,2,0.4,100,MCMC,4,1
5,2,0.4,1000,MCMC,0,1
5,2,0.4,500,MCMC,8,2
5,2,0.4,100,MCMC,1,0
5,2,0.2,1000,MCMC,1,0
5,2,0.2,500,MCMC,2,0
5,2,0.2,100,MCMC,2,1
5,2,0.2,1000,MCMC,1,0
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,0,1
8,4,0.8,1000,MCMC,27,4
8,4,0.8,500,MCMC,21,4
8,4,0.8,100,MCMC,18,4
8,2,0.8,1000,MCMC,25,6
8,2,0.8,500,MCMC,17,5
8,2,0.8,100,MCMC,20,4
8,4,0.6,1000,MCMC,10,2
8,4,0.6,500,MCMC,14,2
8,4,0.6,100,MCMC,21,3
8,2,0.6,1000,MCMC,8,1
8,2,0.6,500,MCMC,21,5
8,2,0.6,100,MCMC,7,3
8,4,0.4,1000,MCMC,9,2
8,4,0.4,500,MCMC,13,2
8,4,0.4,100,MCMC,14,2
8,2,0.4,1000,MCMC,6,4
8,2,0.4,500,MCMC,10,2
8,2,0.4,100,MCMC,13,2
8,4,0.2,1000,MCMC,5,2
8,4,0.2,500,MCMC,9,2
8,4,0.2,100,MCMC,12,4
8,2,0.2,1000,MCMC,5,3
8,2,0.2,500,MCMC,5,3
8,2,0.2,100,MCMC,3,3
5,2,0.8,1000,MCMC,9,2
5,2,0.8,500,MCMC,0,0
5,2,0.8,100,MCMC,10,1
5,2,0.8,1000,MCMC,5,2
5,2,0.8,500,MCMC,3,2
5,2,0.8,100,MCMC,5,2
5,2,0.6,1000,MCMC,1,0
5,2,0.6,500,MCMC,0,1
5,2,0.6,100,MCMC,1,0
5,2,0.6,1000,MCMC,10,2
5,2,0.6,500,MCMC,8,2
5,2,0.6,100,MCMC,9,1
5,2,0.4,1000,MCMC,2,1
5,2,0.4,500,MCMC,4,0
5,2,0.4,100,MCMC,2,0
5,2,0.4,1000,MCMC,2,1
5,2,0.4,500,MCMC,4,1
5,2,0.4,100,MCMC,3,0
5,2,0.2,1000,MCMC,0,1
5,2,0.2,500,MCMC,0,1
5,2,0.2,100,MCMC,3,0
5,2,0.2,1000,MCMC,0,0
5,2,0.2,500,MCMC,0,0
5,2,0.2,100,MCMC,2,1
8,4,0.8,1000,MCMC,18,2
8,4,0.8,500,MCMC,19,5
8,4,0.8,100,MCMC,19,5
8,2,0.8,1000,MCMC,20,4
8,2,0.8,500,MCMC,27,3
8,2,0.8,100,MCMC,13,4
8,4,0.6,1000,MCMC,21,5
8,4,0.6,500,MCMC,15,4
8,4,0.6,100,MCMC,14,3
8,2,0.6,1000,MCMC,35,6
8,2,0.6,500,MCMC,30,6
8,2,0.6,100,MCMC,19,3
8,4,0.4,1000,MCMC,16,4
8,4,0.4,500,MCMC,9,3
8,4,0.4,100,MCMC,11,3
8,2,0.4,1000,MCMC,8,1
8,2,0.4,500,MCMC,8,4
8,2,0.4,100,MCMC,24,3
8,4,0.2,1000,MCMC,6,2
8,4,0.2,500,MCMC,13,4
8,4,0.2,100,MCMC,10,2
8,2,0.2,1000,MCMC,5,3
8,2,0.2,500,MCMC,6,2
8,2,0.2,100,MCMC,5,4
5,2,0.8,1000,MCMC,4,2
5,2,0.8,500,MCMC,3,0
