num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
4,2,0.6,100,Greedy,0.0,0.0,0.0
4,2,0.6,100,GES,0.0,,
4,2,0.4,1000,Greedy,3.0,0.0,5.0
4,2,0.4,1000,GES,3.0,,
4,2,0.4,500,Greedy,3.0,0.0,5.0
4,2,0.4,500,GES,3.0,,
4,2,0.4,100,Greedy,4.0,1.0,4.0
4,2,0.4,100,GES,4.0,,
4,2,0.4,1000,Greedy,2.0,1.0,2.0
4,2,0.4,1000,GES,3.0,,
4,2,0.4,500,Greedy,2.0,1.0,2.0
4,2,0.4,500,GES,3.0,,
4,2,0.4,100,Greedy,2.0,1.0,2.0
4,2,0.4,100,GES,3.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,2.0,,
4,2,0.2,500,Greedy,2.0,2.0,2.0
4,2,0.2,500,GES,2.0,,
4,2,0.2,100,Greedy,0.0,0.0,0.0
4,2,0.2,100,GES,2.0,,
4,2,0.2,1000,Greedy,2.0,2.0,2.0
4,2,0.2,1000,GES,1.0,,
4,2,0.2,500,Greedy,0.0,0.0,0.0
4,2,0.2,500,GES,1.0,,
4,2,0.2,100,Greedy,2.0,2.0,2.0
4,2,0.2,100,GES,1.0,,
20,10,0.8,1000,Greedy,156.0,16.0,211.0
20,10,0.8,1000,GES,202.0,,
20,10,0.8,500,Greedy,169.0,17.0,212.0
20,10,0.8,500,GES,202.0,,
20,10,0.8,100,Greedy,159.0,15.0,184.0
20,10,0.8,100,GES,179.0,,
20,2,0.8,1000,Greedy,202.0,16.0,244.0
20,2,0.8,1000,GES,150.0,,
20,2,0.8,500,Greedy,180.0,15.0,228.0
20,2,0.8,500,GES,177.0,,
20,2,0.8,100,Greedy,147.0,11.0,175.0
20,2,0.8,100,GES,175.0,,
20,10,0.6,1000,Greedy,130.0,15.0,183.0
20,10,0.6,1000,GES,155.0,,
20,10,0.6,500,Greedy,170.0,14.0,198.0
20,10,0.6,500,GES,152.0,,
20,10,0.6,100,Greedy,136.0,13.0,148.0
20,10,0.6,100,GES,163.0,,
20,2,0.6,1000,Greedy,171.0,16.0,206.0
20,2,0.6,1000,GES,187.0,,
20,2,0.6,500,Greedy,137.0,16.0,176.0
20,2,0.6,500,GES,163.0,,
20,2,0.6,100,Greedy,124.0,12.0,146.0
20,2,0.6,100,GES,150.0,,
20,10,0.4,1000,Greedy,123.0,11.0,141.0
20,10,0.4,1000,GES,107.0,,
20,10,0.4,500,Greedy,111.0,14.0,120.0
20,10,0.4,500,GES,89.0,,
20,10,0.4,100,Greedy,92.0,12.0,104.0
20,10,0.4,100,GES,81.0,,
20,2,0.4,1000,Greedy,107.0,16.0,146.0
20,2,0.4,1000,GES,139.0,,
20,2,0.4,500,Greedy,155.0,13.0,166.0
20,2,0.4,500,GES,125.0,,
20,2,0.4,100,Greedy,94.0,14.0,103.0
20,2,0.4,100,GES,99.0,,
20,10,0.2,1000,Greedy,16.0,6.0,28.0
20,10,0.2,1000,GES,13.0,,
20,10,0.2,500,Greedy,26.0,7.0,37.0
20,10,0.2,500,GES,21.0,,
20,10,0.2,100,Greedy,26.0,13.0,33.0
20,10,0.2,100,GES,35.0,,
20,2,0.2,1000,Greedy,45.0,15.0,60.0
20,2,0.2,1000,GES,6.0,,
20,2,0.2,500,Greedy,39.0,11.0,52.0
20,2,0.2,500,GES,9.0,,
20,2,0.2,100,Greedy,19.0,9.0,36.0
20,2,0.2,100,GES,10.0,,
6,3,0.8,1000,Greedy,9.0,3.0,14.0
6,3,0.8,1000,GES,7.0,,
6,3,0.8,500,Greedy,15.0,4.0,17.0
6,3,0.8,500,GES,7.0,,
6,3,0.8,100,Greedy,20.0,3.0,20.0
6,3,0.8,100,GES,9.0,,
6,2,0.8,1000,Greedy,0.0,0.0,0.0
6,2,0.8,1000,GES,5.0,,
